Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website
STHART S.R.L.,02862890429,152010,Ancona,Marche,www.janetandjanet.com
EXTRO' STYLE S.R.L.,03301190546,152010,Perugia,Umbria,www.extrostyle.it
SHOES PROJECT VERONA SRL,04683170239,152010,Verona,Veneto,www.shoes-project.it
PIEMMEGI S.R.L.,02485910265,152020,Treviso,Veneto,piemmegiserramenti.com
SUOLIFICIO MORROVALLESE SPA,00336110432,152020,Macerata,Marche,www.morrovallese.it
RUBBER ITALY S.R.L.,02070350448,152020,Fermo,Marche,http://www.rubberitalysrl.it
ACCOPPIATURE MISTRAL S.R.L.,01718540501,151100,Pisa,Toscana,www.mistralcreativevision.com
BONFANTI BORSE SRL,00767090152,151200,Milano,Lombardia,bonfantiborse.it
MARESCA S.R.L.,00140690207,152010,Mantova,Lombardia,www.maresca.it
LINEA PROJECT LEATHER S.R.L.,04232730244,151100,Vicenza,Veneto,www.lineaprojectleather.it
M.I.B. - MANIFATTURA ITALIANA DEL BREMBO S.P.A.,00917860165,151100,Bergamo,Lombardia,mibfur.com
CALZATURIFICIO EUROPA SOCIETA' A RESPONSABILITA' LIMITATA IN SIGLA: CALZATURIFICIO EUROPA S.R.L.,02655700611,152010,Caserta,Campania,francofedele.it
MISSOURI S.R.L.,01064680448,152010,Fermo,Marche,www.missouri.it
RIPANI ITALIANA PELLETTERIE SOCIETA' BENEFIT A RESPONSABILITA' LIMITATA OVVERO IN FORMA ABBREVIATA RIPANI ITALIANA PELLETTERIE S.B. SRL OPPUR E RIPANI ITALIANA PELLETTERIE S.B. R.L. OPPURE RIPANI ITALIANA PELLETTERIE S.R .L. S.B.,00768000671,151200,Teramo,Abruzzo,www.ripani.com
SUOLIFICIO MAYA S.R.L.,01486940503,152000,Pisa,Toscana,www.suolificio.com
ETTORE MASOTTI S.R.L.,03303930485,152010,Firenze,Toscana,www.calzaturificioettoremasotti.com
CALZATURIFICIO ROSSI S.R.L.,01128030440,152010,Fermo,Marche,www.rossisrl.it
COMET PELLI S.R.L.,01973120247,151100,Vicenza,Veneto,www.comet-pelli.com
CALZATURIFICIO MELIN S.R.L.,01026620441,152010,Fermo,Marche,http://www.melin.it
MASIERO LORENZO S.R.L.,03727890273,152010,Venezia,Veneto,www.lorenzomasiero.it
M.A. ASCIUGATURA PELLI SRL,04121660247,151100,Vicenza,Veneto,www.maasciugaturapelli.it
M3 SRL,04243050244,151100,Vicenza,Veneto,www.conceriam3.com
FAST S.R.L.,01648440442,152010,Fermo,Marche,www.momino.it
SUOLIFICIO GLORIA S.R.L.,00178530408,152020,Forlì-Cesena,Emilia-Romagna,www.suolificiogloria.com
THULE ITALIA SRL,02230550507,151100,Pisa,Toscana,thuleconceria.it
CONCERIA LA BRETAGNA S.R.L.,00970850509,151100,Pisa,Toscana,www.fr.labretagna.com
TIEMMEGI S.R.L.,01505260446,152010,Fermo,Marche,www.tiemmegi.com
GROUP ROCHEL S.R.L.,02407840970,151209,Prato,Toscana,www.hidesins.com
GORDON 1956 S.R.L.,02399000443,152010,Fermo,Marche,calzaturificiogordon.it
SHOE MANUFACTURE S.R.L.,04294170271,152010,Padova,Veneto,maripe.com
S.C. TANNERY S.R.L.,01915710501,151100,Pisa,Toscana,www.sctannery.it
F.LLI STANGHELLINI S.R.L.,02624260242,151100,Vicenza,Veneto,www.stanghellini.it
CERTALDESE S.R.L.,03396560488,152020,Firenze,Toscana,www.certaldese.it
COBA S.R.L.,00843340449,152020,Fermo,Marche,www.solettificiocoba.com
HF 2000 - S.R.L.,03993460728,152020,Barletta-Andria-Trani,Puglia,www.hf2000.com
TOP SYSTEM S.R.L.,03265210280,152010,Padova,Veneto,www.topsystemsrl.com
INDIOS SHOES S.R.L.,01376220479,152010,Pistoia,Toscana,shop.lepori.com
DEAPEL S.R.L.,02814330243,151100,Vicenza,Veneto,www.deapel.it
FA.PEL S.R.L.,01852810249,151100,Vicenza,Veneto,www.fapel.com
ALBA MODA S.R.L.,02239830488,152010,Firenze,Toscana,www.albamoda.it
DOL CAST - S.R.L.,01161320468,152010,Lucca,Toscana,www.dolcastsrl.it
DONI FASHION LAB SRL,04979430289,152010,Venezia,Veneto,www.donifashionlab.it
CONCERIA CORRADI S.R.L.,00876890245,151100,Vicenza,Veneto,http://www.conceriacorradi.com
EVOL FASHION GROUP S.R.L.,04822820280,151209,Padova,Veneto,www.evolfashion.com
VALIGERIA BERTONI S.R.L.,01408250122,151209,Varese,Lombardia,www.bertonivaligeria.it
POKER S.R.L.,00340700509,151100,Pisa,Toscana,www.conceriapokersas.com
NUOVA RIVIERA S.R.L.,04632301216,152010,Napoli,Campania,www.calzaturificionuovariviera.com
CIVICO 93 S.R.L.,09200151216,151209,Napoli,Campania,www.civico93.com
DABO' PELLETTERIA S.R.L.,08226880964,151209,Milano,Lombardia,dabopelletteria.com
BENVENUTI S.R.L.,01188360489,151100,Firenze,Toscana,www.conceriabenvenuti.it
CALZATURIFICIO VOLTAN S.R.L.,01601570276,152010,Venezia,Veneto,http://www.voltan1898.com
CALZATURIFICIO TREEMME S.R.L.,05059570266,152010,Treviso,Veneto,www.treemmecalzature.com
BONTONI SRL,01884950443,152010,Fermo,Marche,bontoni.com
I.G.G. S.R.L.,03409930249,151100,Vicenza,Veneto,www.igg-srl.com
CALZATURIFICIO PELLICO - S.R.L.,01525350276,152010,Venezia,Veneto,www.pellico.net
TOMAIFICIO-GUARDOLIFICIO CINDERELLA'S SHOES S.R.L.,02501540468,152020,Lucca,Toscana,madeedesign.com
CALZATURIFICIO BALLERINA S.R.L.,01812660502,152010,Pisa,Toscana,bellevie.it
GUARDOLIFICIO BIEFFE S.R.L.,01679660504,152020,Pisa,Toscana,www.guardolificiobieffe.it
ALBERTO FASCIANI GROUP SRL,02400050445,152010,Fermo,Marche,it.albertofasciani.it
ESSEDONNA S.R.L.,06019141214,152010,Napoli,Campania,www.essedonna.it
CALZATURIFICIO GRITTI S.R.L.,02167820287,152010,Padova,Veneto,pasderouge.com
MAROS SRL,03095790485,152010,Firenze,Toscana,www.marossrl.it
ANGIE S.R.L.,02241420971,151209,Firenze,Toscana,www.maurizio-taiuti.it
AL-FA S.R.L.,02097950501,151100,Pisa,Toscana,www.al-fasrl.it
PAOLO SCAFORA S.R.L.,05051861218,152010,Napoli,Campania,www.paoloscaforanapoli.com
SELOR GROUP S.R.L.,03098130366,151209,Modena,Emilia-Romagna,www.selorgroup.com
SARA SRL,01460200676,151209,Teramo,Abruzzo,www.loristella.com
CONCERIA IL GABBIANO S.R.L.,00181400508,151100,Pisa,Toscana,conceriailgabbiano.com
SCHEGGI BEATRICE S.R.L.,06384650484,152010,Firenze,Toscana,www.dibeatrice.com
TERZIPEL S.R.L.,02347720241,151100,Vicenza,Veneto,www.terzipel.it
CALZATURIFICIO NOE S.R.L.,07342910721,152010,Barletta-Andria-Trani,Puglia,www.calzaturificionoe.it
SAB SHOES S.R.L.,02101080469,152010,Lucca,Toscana,www.sabshoes.it
SUPERFLEX - S.R.L.,00753170158,152000,Milano,Lombardia,www.superflexsrl.com
PELLETTERIE CLAUDIA-S.R.L.,00441810488,151200,Firenze,Toscana,www.claudiafirenze.com
VENETA S.R.L.,04200350272,151209,Venezia,Veneto,www.pelletteriaveneta.com
FRANCO TUCCI S.R.L.,04822730265,152010,Treviso,Veneto,tuccitime.com
BRC S.R.L.,06640980485,151209,Firenze,Toscana,www.mbrc.it
CONCERIA ORSA MAGGIORE S.R.L.,00115450504,151100,Pisa,Toscana,www.conceriaorsamaggiore.it
CALZATURIFICIO ELGAM SRL,01703260446,152010,Fermo,Marche,etreshoes.it
BEST S.R.L.,01461300509,151100,Pisa,Toscana,www.laboratoriobest.com
ROMY PELLETTERIE SRL,01819370519,151209,Arezzo,Toscana,romy-pelletterie-srl-01819370519.quantofattura.com
BIHOS S.R.L.,01865630287,152010,Padova,Veneto,www.bihosmedical.it
BETTEGA CONDIZIONATURA PELLI S.R.L.,03722920240,151100,Vicenza,Veneto,www.bettegacondizionaturapelli.it
CALZATURIFICIO CINZIA VALLE S.R.L.,01513000446,152010,Fermo,Marche,www.cinziavalle.com
B.V.M. SHOES S.R.L.,01663020434,152010,Macerata,Marche,http://www.bvmshoes.it
GABRY S.R.L.,01361650524,152010,Siena,Toscana,www.leatherluxury.it
GKS SRL,01189130444,152010,Fermo,Marche,www.sergiolevantesi.it
ITALVEN CONCERIA S.R.L.,01786520500,151100,Pisa,Toscana,italvenpelli.it
GOLD FREEDOM S.R.L.,04803730268,152010,Treviso,Veneto,www.goldfreedomsrl.com
NIPMAR S.R.L.,00128830288,152010,Padova,Veneto,www.nipmar.it
CALZATURIFICIO BROKER S.R.L.,01254510298,152000,Rovigo,Veneto,www.brokersrl.it
CO.TI.NA. S.R.L.,01886520640,151100,Avellino,Campania,www.conceriacotina.com
CALZATURIFICIO CONFORT SHOES - S.R.L.,02917290658,152010,Salerno,Campania,www.confortshoes.it
FINISSAGGIO COMPAGNONE 2 S.R.L.,07851770151,152020,Milano,Lombardia,www.solettificiocompagnone.it
BEST WALLET & CO S.R.L.,12014920156,151209,Monza e della Brianza,Lombardia,www.andrearossimilano.it
GRAMAR SHOES S.R.L.,03113330611,152010,Caserta,Campania,www.gramarshoes.it
CONCERIA CAPITAL S.R.L.,01877140507,151100,Pisa,Toscana,www.leatherinstock.it
SERGIO GRASSO INDUSTRIES S.R.L.,04861030239,152010,Verona,Veneto,www.sergiograsso.it
PE' PE' S.R.L.,00283040186,152010,Pavia,Lombardia,www.pepechildrenshoes.com
ENEA S.R.L.,01318750443,152020,Fermo,Marche,www.eneasrl.com
CORVARI SHOES S.R.L.,01874340449,152010,Fermo,Marche,www.corvari.it
PELLETTERIE DOVICO S.R.L. - IN SIGLA P.D. S.R.L.,06749140486,151209,Firenze,Toscana,www.pdpelletteria.com
SNEAKNIT SRL,02396880441,152020,Fermo,Marche,www.sneaknit.it
SUOLIFICIO D'ANGELO S.R.L.,05970511217,152020,Caserta,Campania,www.suolificiodangelo.it
KIMOCO S.R.L.,00382610509,151100,Pisa,Toscana,www.kimoco.it
SOL.E.A SRL,01943640449,152020,Fermo,Marche,www.solettificiosolea.it
VIGENS SRL,02259480065,152010,Alessandria,Piemonte,www.bricklaneshoes.it
ARCIER S.R.L.,06578960152,151200,Milano,Lombardia,www.arcier.com
GIMEZ COLLECTION S.R.L.,01991730449,152010,Fermo,Marche,gimez.it
SKYLINE S.R.L. - SOCIETA' BENEFIT,03485100261,152010,Treviso,Veneto,www.bressanshoes.com
DI&DI COMPANY S.R.L.,09379801211,151209,Napoli,Campania,innueitalia.it
F.B.L. S.R.L.,01777730241,151100,Vicenza,Veneto,fblpelli.it
CARBIPEL GROUP S.R.L.,03407930241,151100,Vicenza,Veneto,www.carbipel.com
ODEON PELLAMI SRL,02279080507,151100,Pisa,Toscana,odeonpellami.it
NEMESI S.R.L.,04399080284,152020,Venezia,Veneto,www.nemesisrl.org
GIANNONI GROUP S.R.L.,05516150488,152010,Firenze,Toscana,www.reposa.it
AGOSTINI SHOES SRL,04271340277,152010,Venezia,Veneto,agostini.shoes
NEW LORIMA S.R.L.,01475130504,151100,Pisa,Toscana,www.newlorima.it
CALZATURIFICIO R.G. DI ROSSI & GALIE' S.R.L.,01008400440,152010,Fermo,Marche,rgshoes.it
BETTI'S SRL,01541110431,152010,Macerata,Marche,www.bettis.it
LO STILE SRL,06840390485,151209,Firenze,Toscana,www.laviafirenze.com
SOLETTIFICIO FONTANETO S.R.L.,02406570032,152020,Novara,Piemonte,flsolettificio.it
ART MODA - S.R.L.,04477740486,151209,Firenze,Toscana,www.postandco.it
CHIARUGI FIRENZE PELLETTERIA S.R.L.,00961350485,151209,Firenze,Toscana,http://www.chiarugifirenze.it
BERDINI S.R.L.,00197350440,152020,Fermo,Marche,www.berdini.com
CONCERIA ZERMEPEL S.R.L.,00622880243,151100,Vicenza,Veneto,www.zermepel.it
CALZATURIFICIO LEOPAMY S.R.L.,01900200443,152010,Fermo,Marche,gioiecologiche.it
GIUSEPPE CARETTI S.R.L.,01212850125,152010,Varese,Lombardia,www.ormalibera.it
ARCADIA S.R.L.,00760080671,151209,Teramo,Abruzzo,www.arcadiabags.com
PELLETTERIE D & D S.R.L.,06541790488,151209,Firenze,Toscana,pelletterieded.com
SCARPEITALIA S.R.L.,08292201210,152010,Napoli,Campania,www.emanuelecrasto.it
LOIPELL S.R.L.,06934130482,151209,Firenze,Toscana,www.loipell.com
ILARI SRL,02011620446,152010,Fermo,Marche,www.lucianoilari.com
ANATRIELLO TARGET S.R.L.,04152541217,152010,Napoli,Campania,www.balie.shoes
CRISTIAN COPPONI SRL,02304100445,152010,Macerata,Marche,www.copponigroup.it
CALZATURIFICIO LADY LAURA S.R.L.,03707920280,152010,Padova,Veneto,www.dancenaturals.it
CALZATURIFICIO NUOVA P.R. S.R.L.,01972460461,152010,Lucca,Toscana,http://www.nuovapr.com
SUOLIFICIO SA.FI. SRL,05471430487,152020,Firenze,Toscana,www.suolificiosafi.com
CUOIFICIO OTELLO S.R.L.,00346870504,151100,Pisa,Toscana,www.otello.it
STAMPE & STAMPE S.R.L,01755160502,151100,Firenze,Toscana,stampestampe.it
CALZATURIFICIO STAR - S.P.A.,00196350128,152010,Varese,Lombardia,artioli.com
CREATIVE LEATHER S.R.L.,06724810483,151209,Firenze,Toscana,creativeleather.it
MARETTO S.R.L.,01417410287,152000,Padova,Veneto,www.marettocalzature.it
PLANET BAGS S.R.L.,00749080677,151209,Teramo,Abruzzo,www.planetbags.it
BRUGLIA S.R.L.,01269600431,152010,Macerata,Marche,bruglia.it
CALZATURIFICIO F.LLI LOBACCARO S.R.L.,06244850720,152010,Barletta-Andria-Trani,Puglia,www.fratellilobaccaro.it
MC QUADRO SOCIETA' A RESPONSABILITA' LIMITATA,02492600644,151100,Avellino,Campania,www.mcquadroconceria.it
FALCA S.R.L.,02051640205,152000,Mantova,Lombardia,falca.it
MAXWAY SRL,02001490438,152010,Macerata,Marche,oanonfashion.com
CLUXTER SRL SOCIETA' BENEFIT,07101590482,152010,Firenze,Toscana,www.cluxter.it
BELLABARBA SRL,01853300448,152020,Fermo,Marche,www.bellabarbasrl.it
FABIO GUIDI PELLETTERIE - S.R.L.,06237640484,151209,Firenze,Toscana,www.pelletteriefabioguidi.com
MARTINA S.R.L.,01024770446,152010,Fermo,Marche,www.sandrog.it
CALZATURIFICIO FRATELLI GRAVINO SOCIETA' A RESPONSABILITA' LIMITA TA IN SIGLA CALZATURIFICIO F.LLI GRAVINO S.R.L.,02691240614,152010,Caserta,Campania,http://www.calzaturificiogravino.com
MIMANERA S.R.L.,04558070407,152010,Rimini,Emilia-Romagna,www.mimanerashop.com
AXEL S.R.L.,01683010647,151100,Avellino,Campania,http://www.axelconceria.it
NUCCI ACCESSORI SRL,03993190408,152020,Forlì-Cesena,Emilia-Romagna,nucciaccessori.com
LE PANIER S.R.L.,05256200873,151209,Catania,Sicilia,www.lepanierbags.com
FOX PELLETTERIE S.R.L.,04090261217,151200,Napoli,Campania,www.pelletteriefoxgroup.com
NEWPORT S.R.L.,01504370501,151100,Pisa,Toscana,www.concerianewport.it
BE GREEN TANNERY INNOVAZIONE CONCIARIA ITALIANA S.R.L.,08972951217,151100,Napoli,Campania,www.begreentannery.com
MONTE SPORT - S.R.L.,01859400267,152010,Treviso,Veneto,www.montesport.it
FIPEL S.R.L. - UNICO SOCIO,02645630241,151100,Vicenza,Veneto,www.fipel.it
ASIA SOCIETA' A RESPONSABILITA' LIMITATA,14789041002,151209,Teramo,Abruzzo,asiapelletterie.it
FALERIA S.R.L.,01448150449,152020,Fermo,Marche,solettificiofaleria.it
ARGOPEL S.R.L.,01563040128,151200,Varese,Lombardia,argopel.it
DE.VI.L. SHOES S.R.L.,06539630720,152010,Barletta-Andria-Trani,Puglia,www.zeusandals.it
BRUNO ROSSI BAGS S.R.L.,05350900485,151209,Firenze,Toscana,brunorossibags.it
TRE-EMME SRL,03455080121,152010,Milano,Lombardia,www.tre-emme.it
STUCCATURA PELLI DORINA SRL,03861840241,151100,Vicenza,Veneto,www.stuccaturadorina.it
SPERNANZONI S.R.L.,01581820436,152010,Macerata,Marche,www.spernanzoni.com
GREEN POINT S.R.L.,02589170246,151100,Vicenza,Veneto,www.green-point.it
BIMAC S.R.L.,01553870039,152010,Novara,Piemonte,www.bimacshoes.com
NEMEA S.R.L,04323040263,152010,Treviso,Veneto,www.nemea.it
PRATESI 1948 S.R.L.,02281310488,151200,Firenze,Toscana,http://www.pratesi.info
FILIPPI S.R.L.,03553180286,151209,Padova,Veneto,www.filippi1965.it
NONSOLOSTUDIO S.R.L.,05443111215,151209,Napoli,Campania,gianninotaroshop.com
DEJAVU' FACTORY S.R.L.,07634711217,151209,Napoli,Campania,www.dejavufactory.com
FASHION S.R.L.,01971960503,152020,Pisa,Toscana,www.suolificiofashion.it
ALES PELLETTERIE S.R.L.,01157750439,151200,Macerata,Marche,www.ales.it
LA FIBBIA S.R.L.,02272440500,152010,Pisa,Toscana,http://calzaturificio-la-fibbia-srl.business.site
RIFINCUOIO GROUP SOCIETA' A RESPONSABILITA' LIMITATA (IN SIGLA RI FINCUOIO GROUP S.R.L.),01878250503,151100,Pisa,Toscana,www.rifincuoiogroup.com
VELA SPORT ITALIA S.R.L.,03463420616,152010,Caserta,Campania,www.velasportitalia.it
STIL SUOLA SRL,01289640508,152020,Pisa,Toscana,www.stilsuola.it
ANTONIO ARNESANO FURS & LEATHER S.R.L.,04417650753,151209,Lecce,Puglia,www.antonioarnesano.it
FLORENS LTD SRL,02420180446,152010,Fermo,Marche,www.florens.it
MARTIRE S.R.L.,06116901213,152010,Caserta,Campania,shoescia.byoutique.com
FAVARO MANIFATTURA CALZATURIERA S.R.L.,03420530275,152010,Milano,Lombardia,www.favarofloriano.com
A. TESTONI S.P.A.,00300560372,152010,Bologna,Emilia-Romagna,www.testoni.com
RAMONES S.R.L.,04279590402,152020,Forlì-Cesena,Emilia-Romagna,www.estemporaneamadeinitaly.com
GOLD S.R.L.S. - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,08581471219,152010,Napoli,Campania,www.marcellisnewyork.com
SORELLE FIORENTINE S.R.L.,06495940485,152010,Firenze,Toscana,www.amalfibyrangoni.it
SOLETTIFICIO ROMAS DEI F.LLI STOPPO M.R. S.R.L.,01494040445,152020,Fermo,Marche,www.solettificioromas.it
OXMOX ITALY S.R.L.,06095600638,152010,Napoli,Campania,oxitalyshoes.com
FACIT S.R.L.,01687361202,152010,Forlì-Cesena,Emilia-Romagna,www.facit.it
THAI'S S.R.L.,01914330442,152010,Fermo,Marche,www.thaissrl.com
FASHION GROUP SOCIETA' A RESPONSABILITA' LIMITATA IN FORMA ABBREVIATA FASHION GROUP S.R.L.,06511151216,152010,Napoli,Campania,www.history541.com
FGR S.R.L.,06283101217,152010,Napoli,Campania,www.francorussonapoli.it
CALZATURIFICIO MARINO FABIANI S.R.L.,00436380448,152010,Fermo,Marche,www.marinofabiani.it
EMME ELLE S.R.L.,02170480517,151209,Arezzo,Toscana,emme-elle-srl-02170480517.quantofattura.com
MANIFATTURE TOSCANA S.R.L.,01735340505,151100,Pisa,Toscana,www.manifatturetoscana.com
S - TEAM S. R. L.,04792750269,152010,Treviso,Veneto,www.s-teamsrl.it
ARCOBALENO S.R.L.,00461870503,151100,Pisa,Toscana,www.arcobalenorifinizione.com
NOVA GEA S.R.L.,01745870434,152020,Macerata,Marche,novagea.it
EMMETRE S.R.L.,02176570501,152010,Pisa,Toscana,www.suolificioemmetre.it
OFFICINE MODELLI S.R.L.,01480930443,152010,Fermo,Marche,www.officinemodelli.it
FLAMINIA PUBBLICITA' S.R.L.,02366860415,151209,Pesaro Urbino,Marche,www.flaminia.it
ITALCONCIA 1973 SRL,00138820501,151100,Pisa,Toscana,biobasedleather.it
KELTON S.R.L.,01380420446,152010,Fermo,Marche,www.keltonsrl.it
ITALRETTILI S.R.L.,01824410508,151100,Pisa,Toscana,www.italrettili.com
CALZATURIFICIO LASSI S.R.L.,01820260477,152010,Pistoia,Toscana,www.madeinitalyshoes.net
TRESSE' SRL,03302340249,151209,Vicenza,Veneto,www.tressesrl.it
PELLETTERIA LUISANNA S.R.L.,06132350486,151209,Firenze,Toscana,www.pelletterialuisanna.com
TOMAIFICIO LEONARDO S.R.L.,06343170483,152020,Firenze,Toscana,www.tomaificioleonardo.it
SOLETTIFICIO STYLFLEX S.R.L.,01706540471,152020,Pistoia,Toscana,www.solettificiostylflex.it
STEP SRL,10767370967,152020,Milano,Lombardia,www.nextstepcalzature.it
CALZATURIFICIO VICTOR S.R.L.,01686940469,152010,Lucca,Toscana,www.calzaturificiovictor.it
FASHION CLOUD S.R.L.,07127010960,151209,Teramo,Abruzzo,www.lianuma.com
SUOLIFICIO MONTERISI S.R.L.,07281600721,152020,Barletta-Andria-Trani,Puglia,http://www.suolificiomonterisi.it
CERRI - S.R.L.,00974590507,151100,Pisa,Toscana,www.cerripellami.it
GIDAL S.R.L.,04176750240,151100,Vicenza,Veneto,www.gidal.it
CALZATURIFICIO LUIS SOCIETA' COOPERATIVA P.A. IN SIGLA LUIS,01118330420,152010,Ancona,Marche,www.luiscalzature.it
EVEET S.R.L.,03444500759,152010,Lecce,Puglia,www.pawelks.it
RICCI S.R.L.,01619620444,152010,Fermo,Marche,www.rfrfabianoricci.it
CALZATURIFICIO SPRING -S.R.L.,00759680440,152010,Fermo,Marche,www.mariobruni.it
CRISTIAN DANIEL S.R.L.,06773120636,152000,Napoli,Campania,www.cristiandaniel.com
LAINO ANGELO BELTS SOCIETA' A RESPONSABILITA' LIMITATA,07739341217,151209,Napoli,Campania,www.lainoangelobelts.com
TM SERVICE S.R.L.,02290840426,151209,Ancona,Marche,www.tmservicesrl.it
MDA S.R.L.,04028420240,151100,Vicenza,Veneto,www.mdaitalia.com
IMPRES S.R.L.,01550790503,151100,Pisa,Toscana,www.imprespelli.it
LINEA COMODA S.R.L.,03003551219,152000,Napoli,Campania,www.lineacomoda.com
COOPERATIVA SOCIALE IL SORRISO - SOC. COOP. A R.L. IN BREVE COOPERATIVA SOCIALE IL SORRISO,00611131202,151209,Bologna,Emilia-Romagna,www.ilsorriso-imola.it
TEKNO SYSTEM SG SRL,02539930186,151100,Pavia,Lombardia,www.teknosystemsg.it
GREEN GEORGE S.R.L.,02170130443,152010,Fermo,Marche,greengeorge.it
"CALZATURIFICIO BRASILEN SOCIETA' A RESPONSABILITA' LIMITATA, IN S IGLA CALZATURIFICIO BRASILEN S.R.L.",00639860980,152010,Brescia,Lombardia,www.brasilen.it
DEL DUCA S.R.L.,07424240633,152000,Napoli,Campania,www.delduca.it
SAPAF - S.R.L.,00408470482,151209,Firenze,Toscana,sapafatelier1954.com
PAMAR S.R.L.,01707620504,152000,Pisa,Toscana,pamarsrl.com
DUE EMME SRL,01182230431,152020,Macerata,Marche,www.tacchificio2m.com
NIAGARA & CO. SRL,04374730168,151209,Brescia,Lombardia,www.thebikezone.it
COBRA PELLETTERIE S.R.L.,04530530486,151209,Firenze,Toscana,www.cobrapelletterie.com
PLUSPELL SRL,03755090242,151100,Vicenza,Veneto,www.plus-pell.it
SUOLIFICIO GBC SRL,01476640436,152020,Macerata,Marche,www.suolificiogbc.it
HOLLY SHOES SRLS,02285980443,152010,Fermo,Marche,www.hollystyle.it
CALZATURIFICIO LUNELLA SRL,01815550445,152010,Fermo,Marche,www.lunellaweb.it
CALZATURIFICIO NORTON S.R.L.,00262240302,152010,Udine,Friuli-Venezia Giulia,http://www.norton-shoes.it
CALZATURIFICIO MEN'S SHOES SRL,01575130438,152010,Macerata,Marche,mensshoes.it
FUTURA - S.R.L.,00992270504,151100,Pisa,Toscana,www.futura-srl.net
TRANCERIA LA TORRE S.R.L.,01465070512,152020,Arezzo,Toscana,latorrefasciature.it
RICCI ENRICO S.R.L.,04268180405,152020,Forlì-Cesena,Emilia-Romagna,www.riccienrico.it
LETA SOCIETA' A RESPONSABILITA' LIMITATA IN SIGLA LETA S.R.L.,01715730287,152020,Padova,Veneto,www.leta.it
GAB S.R.L.,01649260443,152010,Fermo,Marche,www.nerogiardini.it
CALZATURIFICIO DEL CARLO S.R.L.,01633190465,152010,Lucca,Toscana,www.robertodelcarlo.it
SOLETTIFICIO TRIS SRL,00427220447,152020,Fermo,Marche,www.solettificiotris.it
PIERO TUCCI SRL,03670890486,151200,Firenze,Toscana,www.pierotucci.com
PELLETTERIA LA MELINA S.R.L.,05969200483,151209,Firenze,Toscana,pelletterialamelina.it
LUPI GROUP S.R.L.,01994830436,151209,Macerata,Marche,www.desireelupi.com
EDER SHOES S.R.L.,05747450723,152010,Bari,Puglia,edershoes.it
IO PELLE S.R.L. UNIPERSONALE,06789961213,151209,Napoli,Campania,www.iopelleitalia.com
NEW STEP S.R.L.,01628630434,152010,Macerata,Marche,www.newstepsrl.it
GUARDOLIFICIO LUCCHESE SOCIETA' A RESPONSABILITA' LIMITATA OPPURE: GUARDOLIFICIO LUCCHESE S.R.L.,01248730465,152020,Lucca,Toscana,www.guardolificiolucchese.com
TACCHIFICIO GIORGIO S.R.L.,01432480505,152020,Pisa,Toscana,www.tacchificiogiorgio.it
VUEFFE SRL,01212470445,152010,Ascoli Piceno,Marche,www.lilimill.com
MARTINICA BELTS S.R.L.,03777900238,151209,Verona,Veneto,www.martinicabelts.it
TACCHIFICIO PALMA S.R.L.,01250441217,152000,Napoli,Campania,tacchificiopalma.it
REPTILE'S HOUSE S.R.L.,07382480155,151209,Milano,Lombardia,www.reptileshouse.net
RUSAM - S.R.L.,00689730505,152010,Pisa,Toscana,www.calzaturificiorusam.com
BACCARO GROUP S.R.L.,01481300299,152010,Rovigo,Veneto,www.baccarogroup.com
VIRGILIO CONCERIA ARTIGIANA S.R.L.,00218960508,151100,Pisa,Toscana,virgilioconceriaartigiana.it
8 PROJECT SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,09075421215,151209,Napoli,Campania,www.8project.it
FADEL S.R.L.,01896310461,152010,Lucca,Toscana,www.fadel.it
ANDREA D'AMICO S.R.L.,01817491200,151209,Bologna,Emilia-Romagna,www.andreadamico.com
OFFICINA DELLA BORSA S.R.L.,04003900273,151209,Padova,Veneto,www.michaelsoho.com
SUOLIFICIO DE CAROLIS S.R.L.,01758080442,152020,Fermo,Marche,www.suolificiodecarolis.com
BOTTEGA QUADRA SRL,03783430246,151209,Vicenza,Veneto,www.bottegaquadra.com
TONILAB 25 S.R.L.,01005800501,151100,Pisa,Toscana,tonilab25.it
RI.PELL. S.R.L.,01776190645,151100,Avellino,Campania,www.ripellsrl.com
REVOLUTION SHOES S.R.L.,06731660723,152020,Barletta-Andria-Trani,Puglia,www.revolutionshoes.it
VP VERA PELLAMI SRL,03421980248,151100,Vicenza,Veneto,www.verapellami.it
LOTTINI - S.R.L.,01250680467,152010,Lucca,Toscana,www.lottinishoes.it
MALAICA SRL,04592730263,152010,Treviso,Veneto,www.equick.it
CALZATURIFICIO LIVERPOOL S.R.L.,01583770290,152010,Rovigo,Veneto,www.liverpoolshoes.it
LANCIO S.R.L.,02197420447,152010,Fermo,Marche,www.lancio.net
KJR S.R.L.,03633270610,152010,Caserta,Campania,www.korrecta.it
VALDARNOPLAST S.R.L.,01214710509,152010,Pisa,Toscana,www.oltreluna.com
SOCEN S.R.L.,02119130447,152020,Fermo,Marche,www.socen.it
ARTIGIANI PELLETTIERI SRL,01443600521,151209,Siena,Toscana,artigianipellettieri.it
SUOLIFICIO CA.PRI SRL,01138130446,152020,Fermo,Marche,www.ca-pri.it
BLUE RIBE SRL,02673670283,152010,Padova,Veneto,www.ribeclog.it
